url,titre,entreprise,date_publication,region,ville,contrat,experience,niveau_etude,competences_cles,skills_list,experience_cat,annee,mois
https://www.emploi.ma/offre-emploi-maroc/operateur-injection-settat-9250257,Opérateur d'Injection - Settat,TECTRA BERRECHID,2026-02-28,Settat,Settat,Intérim,Débutant < 2 ans - Expérience entre 2 ans et 5 ans,Qualification avant bac - Bac - Bac+1 - Bac+2 - Bac+3,Injection Plastique - Injection - Qualité - Étiquetage - Machines - Maintenance - Production - Industrie,"['Injection Plastique', 'Injection', 'Qualité', 'Étiquetage', 'Machines', 'Maintenance', 'Production', 'Industrie']",Débutant,2026,2
https://www.emploi.ma/offre-emploi-maroc/ingenieur-agronome-junior-chtouka-ait-baha-9262618,Ingénieur Agronome Junior - Chtouka Ait Baha,QUALITY TOMATO MOROCCO,2026-03-12,Agadir,Chtouka Ait Baha,CDI,"Etudiant, jeune diplômé - Débutant < 2 ans - Expérience entre 2 ans et 5 ans - Expérience entre 5 ans et 10 ans - Expérience > 10 ans",Bac+5 et plus,Ventilation - Amélioration Continue - Irrigation - Maintenance - Production - Qualité - Horticulture - Fertilisation,"['Ventilation', 'Amélioration Continue', 'Irrigation', 'Maintenance', 'Production', 'Qualité', 'Horticulture', 'Fertilisation']",Débutant,2026,3
https://www.emploi.ma/offre-emploi-maroc/responsable-ordonnancement-birjdid-9219501,Responsable Ordonnancement - Birjdid,TECTRA CASA BOURGOGNE – RECRUTEMENT,2026-02-06,Casablanca-Mohammedia,Birjdid,CDI,Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Bac+3 - Bac+4 - Bac+5 et plus,Transport,['Transport'],Confirmé (5-10 ans),2026,2
https://www.emploi.ma/offre-emploi-maroc/directeur-projet-securite-operationnelle-hf-casablanca-9134183,Directeur de Projet Sécurité Opérationnelle (H/F) - Casablanca,AFRICAWORK,2026-02-20,Agadir - Casablanca-Mohammedia - Fès - Marrakech-Safi - Oujda - Rabat-Salé-Kénitra - Tanger-Tétouan-Al Hoceïma,Casablanca,CDI,Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Bac+4 - Bac+5 et plus,Non spécifié,['Non spécifié'],Confirmé (5-10 ans),2026,2
https://www.emploi.ma/offre-emploi-maroc/responsable-commercial-mohammedia-9033962,Responsable Commercial - Mohammedia,BRIQUETERIE JBEL ANNOUR,2026-03-06,Casablanca-Mohammedia,Mohammedia,CDI,Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Bac+5 et plus,Non spécifié,['Non spécifié'],Confirmé (5-10 ans),2026,3
https://www.emploi.ma/offre-emploi-maroc/ingenieur-recherche-developpement-casablanca-9227558,Ingénieur Recherche et Développement - Casablanca,COLORADO,2026-02-17,Casablanca-Mohammedia,Casablanca,CDI,Non spécifié,Bac+5 et plus,Analyse Physico-Chimique - Analyse Physico-Chimique,"['Analyse Physico', 'Chimique', 'Analyse Physico', 'Chimique']",Non spécifié,2026,2
https://www.emploi.ma/offre-emploi-maroc/charge-portefeuille-tiznit-9269169,Chargé de Portefeuille - Tiznit,FONDATION ARRAWAJ,2026-03-17,Agadir,Tiznit,CDI,Débutant < 2 ans - Expérience entre 2 ans et 5 ans - Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Bac+3 - Bac+4 - Bac+5 et plus,Vente - Recouvrement - Finance - Comptabilité - Gestion,"['Vente', 'Recouvrement', 'Finance', 'Comptabilité', 'Gestion']",Débutant,2026,3
https://www.emploi.ma/offre-emploi-maroc/stagiaire-archiviste-casablanca-9242552,Stagiaire Archiviste - Casablanca,GROUPE MCE,2026-02-21,Casablanca-Mohammedia,Casablanca,Stage,Non spécifié,Bac+1 - Bac+2,Tourisme,['Tourisme'],Non spécifié,2026,2
https://www.emploi.ma/offre-emploi-maroc/modeliste-senior-kenitra-9273665,Modéliste Senior - Kénitra,TECTRA,2026-03-12,Rabat-Salé-Kénitra,Kénitra,CDI,Expérience entre 2 ans et 5 ans,Bac+3,Confection - Prototype - Qualité - Machines - Processus - Production - Industrialisation - Maintenance,"['Confection', 'Prototype', 'Qualité', 'Machines', 'Processus', 'Production', 'Industrialisation', 'Maintenance']",Junior (2-5 ans),2026,3
https://www.emploi.ma/offre-emploi-maroc/technicien-informaticien-casablanca-9241085,Technicien Informaticien - Casablanca,TECTRA AGENCE AIN SBAA,2026-02-21,Casablanca-Mohammedia,Casablanca,Intérim,Non spécifié,Bac+2,Non spécifié,['Non spécifié'],Non spécifié,2026,2
